Noord-oost	1021	1025
Noord-West	1033	1036
Oud Noord	1031	1032
Westerpark	1051	1052
Centrum West	1015	1017
Centrum Oost	1011	1014
Oostelijke Havengebied - Indische Buurt	1092	1094
Oostelijke Havengebied - Indische Buurt	1018	1018
Oud Oost	1091	1091
Ijburg - Zeeburgereiland	1019	1019
Ijburg - Zeeburgereiland	1087	1087
Watergraafsmeer	1096	1098
De Pijp - Rivierenbuurt	1072	1074
De Pijp - Rivierenbuurt	1078	1079
Buitenveldert - Zuidas	1081	1083
Zuid	1071	1077
De Baarsjes - Oud West 	1053	1054
De Baarsjes - Oud West 	1057	1059
Bos en Lommer	1055	1055
Geuzenveld - Slotermeer	1063	1064
Geuzenveld - Slotermeer	1067	1067
Slotervaart	1062	1065
Osdorp	1067	1069
De Aker - Nieuw Sloten	1060	1060
De Aker - Nieuw Sloten	1066	1066
Bijlmer Centrum	1102	1102
Bijlmer Oost 	1103	1104
Gaaperdam - Driemond	1106	1109
